	base__hugo	base__num_variants	base__so	base__all_so	base__note
263	OSER1	58	STG	STG(1),MIS(2),SYN(1),INT(33),UT3(1),2KD(20)	
264	OTOR	31	MIS	MIS(2),SYN(1),INT(11),UT5(2),UT3(1),2KU(9),2KD(5)	
265	OVOL2	41	INT	INT(37),2KU(4)	
266	OXT	8	2KU	2KU(3),2KD(5)	
267	PABPC1L	74	STL	STL(1),SYN(3),INT(60),2KU(5),2KD(5)	
268	PAK7	509	SYN	SYN(1),INT(504),UT5(1),2KU(2),2KD(1)	
269	PANK2	88	MIS	MIS(1),SYN(1),INT(63),UT3(9),2KU(4),2KD(10)	
270	PARD6B	4	INT	INT(4)	
271	PAX1	4	FSD	FSD(1),INT(1),UT3(2)	
272	PCED1A	37	FSD	FSD(1),IND(1),MIS(3),INT(14),UT3(1),2KU(3),2KD(14)	
273	PCIF1	2	INT	INT(2)	
274	PCK1	10	MIS	MIS(1),SYN(1),INT(1),UT3(5),2KD(2)	
275	PCNA	17	INT	INT(16),2KD(1)	
276	PCSK2	479	FSI	FSI(1),MIS(1),SYN(1),INT(458),UT3(3),2KU(3),2KD(12)	
277	PDRG1	12	MIS	MIS(1),INT(4),UT5(2),UT3(5)	
278	PDYN	12	INT	INT(7),UT5(1),2KU(4)	
279	PET117	11	INT	INT(4),UT5(1),UT3(2),2KU(2),2KD(2)	
280	PFDN4	26	INT	INT(19),UT3(2),2KU(2),2KD(3)	
281	PHACTR3	526	MIS	MIS(3),SYN(2),INT(513),UT3(1),2KU(1),2KD(6)	
282	PHF20	305	FSI	FSI(1),MIS(1),INT(290),UT3(3),2KU(6),2KD(4)	
283	PI3	8	MIS	MIS(1),2KU(1),2KD(6)	
284	PIGT	2	INT	INT(2)	
285	PIGU	16	INT	INT(16)	
286	PKIG	137	SYN	SYN(1),INT(134),UT5(1),2KU(1)	
287	PLAGL2	2	INT	INT(1),UT3(1)	
288	PLCB1	1266	STG	STG(1),SPL(1),MIS(3),INT(1250),UT3(1),2KU(1),2KD(9)	
289	PLCB4	271	INT	INT(257),UT5(2),2KU(12)	
290	PLCG1	47	MIS	MIS(3),SYN(2),INT(29),UT3(10),2KU(1),2KD(2)	
291	PLTP	30	SPL	SPL(1),SYN(1),INT(14),UT3(3),2KU(1),2KD(10)	
292	PMEPA1	99	MIS	MIS(1),INT(82),UT3(7),2KU(4),2KD(5)	
293	POFUT1	3	INT	INT(3)	
294	POLR3F	34	MIS	MIS(1),SYN(2),INT(21),UT3(3),2KU(3),2KD(4)	
295	PPP1R16B	117	INT	INT(116),2KU(1)	
296	PPP1R3D	19	MIS	MIS(1),UT5(2),UT3(3),2KU(10),2KD(3)	
